25	50	75	100	125	150	175	200	225	250	275	300
50	75	100	125	150	175	200	225	250	275	300	325
75	100	125	150	175	200	225	250	275	300	325	350
100	125	150	175	200	225	250	275	300	325	350	375
125	150	175	200	225	250	275	300	325	350	375	400
150	175	200	225	250	275	300	325	350	375	400	425
175	200	225	250	275	300	325	350	375	400	425	450
200	225	250	275	300	325	350	375	400	425	450	475
225	250	275	300	325	350	375	400	425	450	475	500
250	275	300	325	350	375	400	425	450	475	500	525
500	475	450	425	400	375	350	325	300	275	250	225
50	25	75	100	125	150	175	200	225	250	275	300
75	50	100	125	150	175	200	225	250	275	300	325
100	75	125	150	175	200	225	250	275	300	325	350
125	100	150	175	200	225	250	275	300	325	350	375
150	125	175	200	225	250	275	300	325	350	375	400
175	150	200	225	250	275	300	325	350	375	400	425
200	175	225	250	275	300	325	350	375	400	425	450
225	200	250	275	300	325	350	375	400	425	450	475
250	225	275	300	325	350	375	400	425	450	475	500
275	250	300	325	350	375	400	425	450	475	500	525
475	500	450	425	400	375	350	325	300	275	250	225
50	75	25	100	125	150	175	200	225	250	275	300
75	100	50	125	150	175	200	225	250	275	300	325
100	125	75	150	175	200	225	250	275	300	325	350
125	150	100	175	200	225	250	275	300	325	350	375
150	175	125	200	225	250	275	300	325	350	375	400
175	200	150	225	250	275	300	325	350	375	400	425
200	225	175	250	275	300	325	350	375	400	425	450
225	250	200	275	300	325	350	375	400	425	450	475
250	275	225	300	325	350	375	400	425	450	475	500
275	300	250	325	350	375	400	425	450	475	500	525
475	450	500	425	400	375	350	325	300	275	250	225
50	75	100	25	125	150	175	200	225	250	275	300
75	100	125	50	150	175	200	225	250	275	300	325
100	125	150	75	175	200	225	250	275	300	325	350
125	150	175	100	200	225	250	275	300	325	350	375
150	175	200	125	225	250	275	300	325	350	375	400
175	200	225	150	250	275	300	325	350	375	400	425
200	225	250	175	275	300	325	350	375	400	425	450
225	250	275	200	300	325	350	375	400	425	450	475
250	275	300	225	325	350	375	400	425	450	475	500
275	300	325	250	350	375	400	425	450	475	500	525
475	450	425	500	400	375	350	325	300	275	250	225
50	75	100	125	25	150	175	200	225	250	275	300
75	100	125	150	50	175	200	225	250	275	300	325
100	125	150	175	75	200	225	250	275	300	325	350
125	150	175	200	100	225	250	275	300	325	350	375
150	175	200	225	125	250	275	300	325	350	375	400
175	200	225	250	150	275	300	325	350	375	400	425
200	225	250	275	175	300	325	350	375	400	425	450
225	250	275	300	200	325	350	375	400	425	450	475
250	275	300	325	225	350	375	400	425	450	475	500
275	300	325	350	250	375	400	425	450	475	500	525
475	450	425	400	500	375	350	325	300	275	250	225
50	75	100	125	150	25	175	200	225	250	275	300
75	100	125	150	175	50	200	225	250	275	300	325
100	125	150	175	200	75	225	250	275	300	325	350
125	150	175	200	225	100	250	275	300	325	350	375
150	175	200	225	250	125	275	300	325	350	375	400
175	200	225	250	275	150	300	325	350	375	400	425
200	225	250	275	300	175	325	350	375	400	425	450
225	250	275	300	325	200	350	375	400	425	450	475
250	275	300	325	350	225	375	400	425	450	475	500
275	300	325	350	375	250	400	425	450	475	500	525
475	450	425	400	375	500	350	325	300	275	250	225
50	75	100	125	150	175	25	200	225	250	275	300
75	100	125	150	175	200	50	225	250	275	300	325
100	125	150	175	200	225	75	250	275	300	325	350
125	150	175	200	225	250	100	275	300	325	350	375
150	175	200	225	250	275	125	300	325	350	375	400
175	200	225	250	275	300	150	325	350	375	400	425
200	225	250	275	300	325	175	350	375	400	425	450
225	250	275	300	325	350	200	375	400	425	450	475
250	275	300	325	350	375	225	400	425	450	475	500
275	300	325	350	375	400	250	425	450	475	500	525
475	450	425	400	375	350	500	325	300	275	250	225
50	75	100	125	150	175	200	25	225	250	275	300
75	100	125	150	175	200	225	50	250	275	300	325
100	125	150	175	200	225	250	75	275	300	325	350
125	150	175	200	225	250	275	100	300	325	350	375
